shipment_id_raw,po_id_raw,tracking_id_raw,carrier_id_raw,supplier_handover_date_raw,ship_date_raw,expected_arrival_date_raw,destination_warehouse_id_raw,source_system,record_updated_at,ingestion_timestamp,batch_id
SHP-00000001,PO-00000001,TRK-78624534,Oceanic Freight,2025-01-12 16:00:00,2025-01-12 16:00:00,2025-01-21 16:00:00,WH-LKO-01,SAP_TM,2025-01-12 18:31:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000002,PO-00000002,TRK-37786129,FedEx,2025-01-09 14:00:00,2025-01-09 14:00:00,2025-01-12 14:00:00,WH-MUM-03,SAP_TM,2025-01-09 15:39:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000003,PO-00000003,TRK-32019658,DHL Express,2025-01-08 16:00:00,2025-01-08 16:00:00,2025-01-10 16:00:00,WH-BLR-04,SAP_TM,2025-01-08 16:39:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000004,PO-00000004,TRK-52748817,Oceanic Freight,2025-01-12 15:00:00,2025-01-12 15:00:00,01-21-2025,WH-DEL-02,SAP_TM,2025-01-12 15:56:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000005,PO-00000005,TRK-91161366,FedEx,2025-01-14 14:00:00,2025-01-14 14:00:00,2025-01-17 14:00:00,WH-DEL-02,SAP_TM,2025-01-14 16:25:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000006,PO-00000006,TRK-68226387,DHL Express,2025-01-14T08:00:00Z,2025-01-14 08:00:00,2025-01-16 08:00:00,WH-DEL-02,SAP_TM,2025-01-14 08:36:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000007,PO-00000007,TRK-95527723,DHL Express,2025-01-11 16:00:00,2025-01-11 16:00:00,2025-01-13 16:00:00,WH-MUM-03,SAP_TM,2025-01-11 18:03:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000008,PO-00000008,TRK-87717531,Local-Post,2025-01-08 12:00:00,2025-01-08 12:00:00,2025-01-13 12:00:00,WH-MUM-03,SAP_TM,2025-01-08 14:43:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000009,PO-00000009,TRK-84991658,Local-Post,2025-01-11 08:00:00,2025-01-11 08:00:00,2025-01-16 08:00:00,WH-LKO-01,SAP_TM,2025-01-11 09:32:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000010,PO-00000010,TRK-22028618,DHL Express,2025-01-17 16:00:00,2025-01-17 16:00:00,2025-01-19 16:00:00,WH-MUM-03,SAP_TM,2025-01-17 18:21:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000011,PO-00000011,TRK-88928269,FedEx,2025-01-17 10:00:00,2025-01-17 10:00:00,2025-01-20 10:00:00,WH-MUM-03,SAP_TM,2025-01-17 10:17:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000012,PO-00000012,TRK-94479766,DHL Express,2025-01-20 09:00:00,2025-01-20 09:00:00,2025-01-22 09:00:00,WH-MUM-03,SAP_TM,2025-01-20 11:43:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000013,PO-00000013,TRK-11832362,DHL Express,01-25-2025,2025-01-25 08:00:00,2025-01-27 08:00:00,WH-BLR-04,SAP_TM,2025-01-30 09:25:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000014,PO-00000014,TRK-33505418,DHL Express,2025-01-23 15:00:00,2025-01-23 15:00:00,2025-01-25 15:00:00,WH-MUM-03,SAP_TM,2025-01-23 16:41:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000015,PO-00000015,TRK-16399444,DHL Express,2025-01-26 10:00:00,2025-01-26 10:00:00,2025-01-28 10:00:00,WH-LKO-01,SAP_TM,2025-01-26 10:18:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000016,PO-00000016,TRK-22545204,Local-Post,2025-02-01 08:00:00,2025-02-01 08:00:00,2025-02-06 08:00:00,WH-DEL-02,SAP_TM,2025-02-01 10:32:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000017,PO-00000017,TRK-40435159,FedEx,2025-01-29 10:00:00,2025-01-29 10:00:00,2025-02-01 10:00:00,WH-BLR-04,SAP_TM,2025-01-29 10:21:00,2026-08-05 02:59:59,BATCH_202501_RAW_INBOUND_SHIPMENTS
SHP-00000018,PO-00000018,TRK-32333720,DHL Express,2025-02-02 10:00:00,2025-02-02 10:00:00,2025-02-04 10:00:00,WH-DEL-02,SAP_TM,2025-02-02 10:09:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000019,PO-00000019,TRK-38256891,FedEx,2025-02-01 09:00:00,2025-02-01 09:00:00,2025-02-04 09:00:00,WH-MUM-03,SAP_TM,2025-02-01 09:49:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000020,PO-00000020,TRK-29806334,Oceanic Freight,2025-02-05 12:00:00,2025-02-05 12:00:00,2025-02-14 12:00:00,WH-MUM-03,SAP_TM,2025-02-05 14:07:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000021,PO-00000021,TRK-40985024,FedEx,2025-02-01 11:00:00,2025-02-01 11:00:00,2025-02-04 11:00:00,WH-DEL-02,SAP_TM,2025-02-01 11:01:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000022,PO-00000022,TRK-12852600,DHL Express,2025-02-03 08:00:00,2025-02-03 08:00:00,2025-02-05 08:00:00,WH-BLR-04,SAP_TM,2025-02-03 08:03:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000023,PO-00000023,TRK-28243290,FedEx,2025-02-11 10:00:00,2025-02-11 10:00:00,2025-02-14 10:00:00,WH-MUM-03,SAP_TM,2025-02-11 12:07:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000024,PO-00000025,TRK-46845624,Local-Post,2025-02-10 11:00:00,2025-02-10 11:00:00,2025-02-15 11:00:00,WH-LKO-01,SAP_TM,2025-02-10 12:46:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000025,PO-00000026,TRK-54342889,Oceanic Freight,2025-02-12 16:00:00,2025-02-12 16:00:00,2025-02-21 16:00:00,WH-DEL-02,SAP_TM,2025-02-12 16:01:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000026,PO-00000027,TRK-50012137,Local-Post,2025-02-15 09:00:00,2025-02-15 09:00:00,2025-02-20 09:00:00,WH-BLR-04,SAP_TM,2025-02-15 09:44:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000027,PO-00000028,TRK-25860539,FedEx,2025-02-08 10:00:00,2025-02-08 10:00:00,2025-02-11 10:00:00,WH-DEL-02,SAP_TM,2025-02-08 12:42:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000028,PO-00000029,TRK-13341922,Oceanic Freight,2025-02-14 08:00:00,2025-02-14 08:00:00,2025-02-23 08:00:00,WH-MUM-03,SAP_TM,2025-02-14 10:11:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000029,PO-00000030,TRK-23508923,DHL Express,2025-02-16 12:00:00,2025-02-16 12:00:00,2025-02-18 12:00:00,WH-MUM-03,SAP_TM,2025-02-19 14:50:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000030,PO-00000031,TRK-56833564,DHL Express,2025-02-20 14:00:00,2025-02-20 14:00:00,2025-02-22 14:00:00,WH-MUM-03,SAP_TM,2025-02-20 14:47:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000031,PO-00000032,TRK-14876759,DHL Express,2025-02-20 15:00:00,2025-02-20 15:00:00,2025-02-22 15:00:00,WH-LKO-01,SAP_TM,2025-02-20 16:21:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
SHP-00000032,PO-00000033,TRK-46707600,Local-Post,2025-02-13 08:00:00,2025-02-13 08:00:00,2025-02-18 08:00:00,WH-DEL-02,SAP_TM,2025-02-18 10:53:00,2026-08-05 02:59:59,BATCH_202502_RAW_INBOUND_SHIPMENTS
