movement_id_raw,movement_timestamp_raw,sku_id_raw,from_warehouse_id_raw,to_warehouse_id_raw,movement_type_raw,quantity_raw,reference_id_raw,transfer_id_raw,source_system,record_updated_at,ingestion_timestamp,batch_id
MOV-00000001,2025-01-01 00:00:00,SKU-0001,,WH-DEL-02,OPENING_BALANCE,371,,,BLUEYONDER_WMS,2025-01-01 02:25:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000002,2025-01-01 00:00:00,SKU-0001,,WH-MUM-03,OPENING_BALANCE,575,,,BLUEYONDER_WMS,2025-01-01 02:21:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000003,2025-01-01 00:00:00,SKU-0002,,WH-LKO-01,OPENING_BALANCE,557,,,BLUEYONDER_WMS,2025-01-01 00:24:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000004,2025-01-01 00:00:00,SKU-0002,,WH-DEL-02,OPENING_BALANCE,234,,,BLUEYONDER_WMS,2025-01-01 00:16:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000005,2025-01-01 00:00:00,SKU-0002,,WH-MUM-03,OPENING_BALANCE,218,,,BLUEYONDER_WMS,2025-01-01 02:31:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000006,2025-01-01 00:00:00,SKU-0002,,WH-BLR-04,OPENING_BALANCE,434,,,BLUEYONDER_WMS,2025-01-01 00:15:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000007,2025-01-01 00:00:00,SKU-0003,,WH-DEL-02,OPENING_BALANCE,605,,,BLUEYONDER_WMS,2025-01-01 00:02:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000008,2025-01-01 00:00:00,SKU-0003,,WH-MUM-03,OPENING_BALANCE,329,,,BLUEYONDER_WMS,2025-01-01 02:55:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000009,2025-01-01 00:00:00,SKU-0003,,WH-BLR-04,OPENING_BALANCE,320,,,BLUEYONDER_WMS,2025-01-01 01:46:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000010,2025-01-01 00:00:00,SKU-0004,,WH-LKO-01,OPENING_BALANCE,273,,,BLUEYONDER_WMS,2025-01-01 02:32:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000011,2025-01-01 00:00:00,SKU-0004,,WH-MUM-03,OPENING_BALANCE,261,,,BLUEYONDER_WMS,2025-01-01 00:56:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000012,2025-01-01 00:00:00,SKU-0004,,WH-BLR-04,OPENING_BALANCE,436,,,BLUEYONDER_WMS,2025-01-01 01:54:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000013,2025-01-01 00:00:00,SKU-0005,,WH-LKO-01,OPENING_BALANCE,521,,,BLUEYONDER_WMS,2025-01-01 02:19:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000014,2025-01-01 00:00:00,SKU-0005,,WH-DEL-02,OPENING_BALANCE,648,,,BLUEYONDER_WMS,2025-01-01 01:01:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000015,2025-01-01 00:00:00,SKU-0005,,WH-MUM-03,OPENING_BALANCE,504,,,BLUEYONDER_WMS,2025-01-01 02:58:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000016,2025-01-01 00:00:00,SKU-0006,,WH-LKO-01,OPENING_BALANCE,377,,,BLUEYONDER_WMS,2025-01-01 01:30:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000017,2025-01-01 00:00:00,SKU-0007,,WH-LKO-01,OPENING_BALANCE,578,,,BLUEYONDER_WMS,2025-01-01 02:26:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000018,2025-01-01 00:00:00,SKU-0007,,WH-DEL-02,OPENING_BALANCE,352,,,BLUEYONDER_WMS,2025-01-29 02:47:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000019,2025-01-01 00:00:00,SKU-0007,,WH-BLR-04,OPENING_BALANCE,347,,,BLUEYONDER_WMS,2025-01-01 00:49:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000020,2025-01-01 00:00:00,SKU-0008,,WH-LKO-01,OPENING_BALANCE,201,,,BLUEYONDER_WMS,2025-01-01 01:46:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
MOV-00000021,2025-01-01 00:00:00,SKU-0008,,WH-DEL-02,OPENING_BALANCE,626,,,BLUEYONDER_WMS,2025-01-01 01:55:00,2026-08-05 02:59:59,BATCH_202501_RAW_INVENTORY_MOVEMENTS
