sku_id_raw,category_raw,brand_raw,pack_size_raw,product_status_raw,effective_from_raw,effective_to_raw,is_current_raw,source_system,record_updated_at,ingestion_timestamp,batch_id
SKU-0001,Industrial,Brand-A,Pallet,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 01:57:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0002,Apparel,Brand-C,Case,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 02:40:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0003,Home,Brand-B,Case,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 01:27:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0004,Apparel,Brand-A,Case,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 00:34:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0005,Home,Brand-D,Case,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 00:07:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0006,Electronics,Brand-D,6-Pack,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 02:49:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0007,Electronics,Brand-C,Pallet,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 02:20:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0008,Electronics,Brand-B,Case,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 01:24:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0009,Industrial,Brand-E,12-Pack,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 02:58:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0010,Electronics,Brand-A,1-Pack,ACTIVE,2025-01-01 00:00:00,2026-02-09 00:00:00,False,ERP_MDM,2025-01-01 02:21:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0010,Industrial,Brand-A,12-Pack,ACTIVE,2026-02-10 00:00:00,,True,ERP_MDM,2026-02-10 01:52:00,2026-08-05 02:59:59,BATCH_202602_RAW_PRODUCT_MASTER_SCD
SKU-0011,Electronics,Brand-E,Pallet,ACTIVE,2025-01-01 00:00:00,45975,False,ERP_MDM,2025-01-01 00:45:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0011,Home,Brand-E,Pallet,ACTIVE,2025-11-15 00:00:00,,True,ERP_MDM,2025-11-15 01:08:00,2026-08-05 02:59:59,BATCH_202511_RAW_PRODUCT_MASTER_SCD
SKU-0012,Apparel,Brand-E,Case,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 00:41:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0013,Home,Brand-D,1-Pack,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 00:29:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0014,Industrial,Brand-A,6-Pack,ACTIVE,2025-01-01T00:00:00Z,2026-02-24 00:00:00,False,ERP_MDM,2025-01-01 00:11:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0014,Home,Brand-A,6-Pack,ACTIVE,2026-02-25 00:00:00,,True,ERP_MDM,2026-02-25 01:35:00,2026-08-05 02:59:59,BATCH_202602_RAW_PRODUCT_MASTER_SCD
SKU-0015,Apparel,Brand-C,Case,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 00:34:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0016,Apparel,Brand-A,12-Pack,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 00:46:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0017,Electronics,Brand-C,6-Pack,DISCONTINUED,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 01:33:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0018,Home,Brand-A,6-Pack,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 00:21:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0019,Industrial,Brand-A,6-Pack,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 01:45:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0020,Home,Brand-A,12-Pack,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 01:13:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0021,Apparel,Brand-B,Case,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 00:14:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0022,Apparel,Brand-D,6-Pack,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 00:06:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0023,Electronics,Brand-E,12-Pack,ACTIVE,1735669800,2025-11-16 00:00:00,False,ERP_MDM,2025-01-01 02:05:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0023,Industrial,Brand-E,Pallet,active,2025-11-17 00:00:00,,True,ERP_MDM,2025-11-17 00:31:00,2026-08-05 02:59:59,BATCH_202511_RAW_PRODUCT_MASTER_SCD
SKU-0024,Electronics,Brand-D,Pallet,ACTIVE,2025-01-01 00:00:00,,True,ERP_MDM,2025-01-01 01:40:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0025,Industrial,Brand-A,1-Pack,active,2025-01-01 00:00:00,2026-02-18 00:00:00,False,ERP_MDM,2025-01-01 02:09:00,2026-08-05 02:59:59,BATCH_202501_RAW_PRODUCT_MASTER_SCD
SKU-0025,Electronics,Brand-A,6-Pack,DISCONTINUED,2026-02-19 00:00:00,,True,ERP_MDM,2026-02-19 02:28:00,2026-08-05 02:59:59,BATCH_202602_RAW_PRODUCT_MASTER_SCD
