order_id_raw,order_line_raw,order_timestamp_raw,sku_id_raw,warehouse_id_raw,ordered_qty_raw,fulfilled_qty_raw,unit_price_foreign_raw,discount_amount_foreign_raw,currency_code_raw,status_raw,cancel_reason_raw,customer_promised_delivery_date_raw,source_system,record_updated_at,ingestion_timestamp,batch_id
ORD-00000001,1,2025-01-01 18:20:00,SKU-0020,WH-DEL-02,9,9,191.66,0.00,SGD,COMPLETED,,2025-01-04 18:20:00,SHOPIFY_OMS,2025-01-01 20:08:00,2026-08-05 02:59:59,BATCH_202501_RAW_SALES_ORDERS
ORD-00000002,1,2025-01-01 11:42:00,SKU-0028,WH-LKO-01,3,3,172.52,1.87,SGD,COMPLETED,,2025-01-04 11:42:00,SHOPIFY_OMS,2025-01-01 12:10:00,2026-08-05 02:59:59,BATCH_202501_RAW_SALES_ORDERS
ORD-00000003,1,2025-01-01 19:49:00,SKU-0001,WH-DEL-02,2,2,34.97,3.60,EUR,COMPLETED,,2025-01-06 19:49:00,SHOPIFY_OMS,2025-01-01 22:48:00,2026-08-05 02:59:59,BATCH_202501_RAW_SALES_ORDERS
ORD-00000004,1,2025-01-01 09:18:00,SKU-0123,WH-MUM-03,5,5,162.28,54.69,SGD,COMPLETED,,2025-01-05 09:18:00,SHOPIFY_OMS,2025-01-01 09:42:00,2026-08-05 02:59:59,BATCH_202501_RAW_SALES_ORDERS
ORD-00000005,1,2025-01-01 11:53:00,SKU-0109,WH-LKO-01,1,1,29.76,0.00,EUR,COMPLETED,,2025-01-05 11:53:00,SHOPIFY_OMS,2025-01-01 12:50:00,2026-08-05 02:59:59,BATCH_202501_RAW_SALES_ORDERS
ORD-00000006,1,2025-01-01 19:56:00,SKU-0149,WH-DEL-02,6,6,755.17,0.00,AED,COMPLETED,,2025-01-04 19:56:00,SHOPIFY_OMS,2025-01-01 20:41:00,2026-08-05 02:59:59,BATCH_202501_RAW_SALES_ORDERS
ORD-00000007,1,2025-01-01 12:15:00,SKU-0116,WH-MUM-03,6,6,214.81,74.48,SGD,COMPLETED,,2025-01-03 12:15:00,SHOPIFY_OMS,2025-01-01 14:47:00,2026-08-05 02:59:59,BATCH_202501_RAW_SALES_ORDERS
ORD-00000008,1,2025-01-01 15:22:00,SKU-0037,WH-MUM-03,3,3,13.92,0.00,EUR,COMPLETED,,2025-01-06 15:22:00,SHOPIFY_OMS,2025-01-01 17:07:00,2026-08-05 02:59:59,BATCH_202501_RAW_SALES_ORDERS
ORD-00000009,1,2025-01-01 12:22:00,SKU-0066,WH-BLR-04,2,2,63.67,0.00,USD,COMPLETED,,2025-01-05 12:22:00,SHOPIFY_OMS,2025-01-01 12:30:00,2026-08-05 02:59:59,BATCH_202501_RAW_SALES_ORDERS
ORD-00000010,1,2025-01-01 18:18:00,SKU-0111,WH-LKO-01,3,3,219.88,0.00,AED,COMPLETED,,2025-01-04 18:18:00,SHOPIFY_OMS,2025-01-01 19:34:00,2026-08-05 02:59:59,BATCH_202501_RAW_SALES_ORDERS
