supplier_id_raw,sku_id_raw,warehouse_id_raw,lead_time_days_raw,moq_raw,reorder_point_raw,safety_stock_raw,unit_cost_foreign_raw,currency_code_raw,effective_from_raw,effective_to_raw,is_current_raw,source_system,record_updated_at,ingestion_timestamp,batch_id
SUP-004,SKU-0001,WH-DEL-02,14,126,219,73,37.27,SGD,2025-01-01 00:00:00,2025-07-16 00:00:00,False,ERP_MDM,2025-01-01 01:52:00,2026-08-05 02:59:59,BATCH_202501_RAW_SKU_SUPPLIER_POLICY_SCD
SUP-004,SKU-0001,WH-DEL-02,15,186,248,106,42.84,SGD,2025-07-17 00:00:00,,True,ERP_MDM,2025-07-17 01:17:00,2026-08-05 02:59:59,BATCH_202507_RAW_SKU_SUPPLIER_POLICY_SCD
SUP-004,SKU-0001,WH-MUM-03,12,122,150,84,37.27,SGD,2025-01-01 00:00:00,2025-07-11 00:00:00,False,ERP_MDM,2025-01-01 00:50:00,2026-08-05 02:59:59,BATCH_202501_RAW_SKU_SUPPLIER_POLICY_SCD
SUP-004,SKU-0001,WH-MUM-03,15,181,169,91,42.32,SGD,2025-07-12 00:00:00,,True,ERP_MDM,2025-07-12 01:44:00,2026-08-05 02:59:59,BATCH_202507_RAW_SKU_SUPPLIER_POLICY_SCD
SUP-002,SKU-0002,WH-LKO-01,12,139,129,44,138.45,AED,2025-01-01 00:00:00,2025-06-24 00:00:00,False,ERP_MDM,2025-01-01 02:29:00,2026-08-05 02:59:59,BATCH_202501_RAW_SKU_SUPPLIER_POLICY_SCD
SUP-002,SKU-0002,WH-LKO-01,15,141,166,95,157.1,AED,2025-06-25 00:00:00,,True,ERP_MDM,2025-06-25 00:38:00,2026-08-05 02:59:59,BATCH_202506_RAW_SKU_SUPPLIER_POLICY_SCD
SUP-002,SKU-0002,WH-DEL-02,13,123,126,45,138.45,AED,2025-01-01 00:00:00,2025-08-22 00:00:00,False,ERP_MDM,2025-01-01 01:28:00,2026-08-05 02:59:59,BATCH_202501_RAW_SKU_SUPPLIER_POLICY_SCD
SUP-002,SKU-0002,WH-DEL-02,13,139,189,72,151.18,AED,23/08/2025,,True,ERP_MDM,2025-08-23 00:02:00,2026-08-05 02:59:59,BATCH_202508_RAW_SKU_SUPPLIER_POLICY_SCD
SUP-002,SKU-0002,WH-MUM-03,14,126,191,44,138.45,AED,2025-01-01 00:00:00,2025-08-26 00:00:00,False,ERP_MDM,2025-01-01 02:02:00,2026-08-05 02:59:59,BATCH_202501_RAW_SKU_SUPPLIER_POLICY_SCD
 SUP-002 ,SKU-0002,WH-MUM-03,14,125,252,88,151.66,AED,2025-08-27 00:00:00,,True,ERP_MDM,2025-08-27 01:34:00,2026-08-05 02:59:59,BATCH_202508_RAW_SKU_SUPPLIER_POLICY_SCD
