receipt_id_raw,po_id_raw,sku_id_raw,warehouse_id_raw,actual_receipt_date_raw,putaway_date_raw,received_qty_raw,rejected_qty_raw,wms_bin_location_raw,source_system,record_updated_at,ingestion_timestamp,batch_id
REC-00000001,PO-00000002,SKU-0025,WH-MUM-03,2025-01-10 14:00:00,2025-01-12 17:00:00,423,0,WH-MUM-03#ASL-6#SHF-C#BIN-73,BLUEYONDER_WMS,2025-01-10 16:12:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000002,PO-00000003,SKU-0050,WH-BLR-04,2025-01-11 16:00:00,2025-01-12 20:00:00,444,0,WH-BLR-04#ASL-2#SHF-B#BIN-11,BLUEYONDER_WMS,2025-01-11 18:31:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000003,PO-00000001,SKU-0019,WH-LKO-01,2025-01-13 16:00:00,2025-01-14 20:00:00,473,0,WH-LKO-01#ASL-4#SHF-A#BIN-15,BLUEYONDER_WMS,2025-01-15 16:12:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000004,PO-00000007,SKU-0115,WH-MUM-03,2025-01-13 16:00:00,2025-01-14 17:00:00,419,0,WH-MUM-03#ASL-1#SHF-C#BIN-79,BLUEYONDER_WMS,2025-01-13 16:30:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000005,PO-00000008,SKU-0121,WH-MUM-03,2025-01-15 12:00:00,2025-01-18 13:00:00,480,0,WH-MUM-03#ASL-1#SHF-C#BIN-15,BLUEYONDER_WMS,2025-01-15 13:09:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000006,PO-00000009,SKU-0135,WH-LKO-01,2025-01-15 08:00:00,2025-01-17 12:00:00,428,0,WH-LKO-01#ASL-2#SHF-B#BIN-78,BLUEYONDER_WMS,2025-01-15 09:55:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000007,PO-00000005,SKU-0059,WH-DEL-02,2025-01-16 14:00:00,2025-01-19 18:00:00,333,0,WH-DEL-02#ASL-6#SHF-C#BIN-30,BLUEYONDER_WMS,2025-02-06 14:11:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000008,PO-00000006,SKU-0086,WH-DEL-02,2025-01-17 08:00:00,2025-01-20 09:00:00,415,0,WH-DEL-02#ASL-6#SHF-B#BIN-52,BLUEYONDER_WMS,2025-01-17 08:18:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000009,PO-00000010,SKU-0148,WH-MUM-03,2025-01-18 16:00:00,2025-01-21 19:00:00,465,0,WH-MUM-03#ASL-9#SHF-C#BIN-38,BLUEYONDER_WMS,2025-01-18 16:21:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000010,PO-00000011,SKU-0057,WH-MUM-03,2025-01-20 10:00:00,2025-01-21 13:00:00,359,0,WH-MUM-03#ASL-1#SHF-C#BIN-64,BLUEYONDER_WMS,2025-01-20 12:44:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
 REC-00000011 ,PO-00000012,SKU-0025,WH-MUM-03,2025-01-22 09:00:00,2025-01-25 13:00:00,313,5,WH-MUM-03#ASL-4#SHF-C#BIN-77,BLUEYONDER_WMS,2025-01-22 10:21:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000012,PO-00000004,SKU-0058,WH-DEL-02,1737711000,2025-01-25 16:00:00,435,17,WH-DEL-02#ASL-6#SHF-B#BIN-16,BLUEYONDER_WMS,2025-01-24 16:52:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000013,PO-00000013,SKU-0093,WH-BLR-04,2025-01-27 08:00:00,2025-01-30 11:00:00,352,0,WH-BLR-04#ASL-2#SHF-C#BIN-61,BLUEYONDER_WMS,2025-01-27 09:01:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000014,PO-00000014,SKU-0121,WH-MUM-03,2025-01-27 15:00:00,2025-01-29 16:00:00,365,0,WH-MUM-03#ASL-4#SHF-A#BIN-13,BLUEYONDER_WMS,2025-01-27 16:22:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000015,PO-ORPHAN-999999,SKU-0135,WH-LKO-01,2025-01-28 10:00:00,2025-01-31 13:00:00,337,0,WH-LKO-01#ASL-4#SHF-C#BIN-65,BLUEYONDER_WMS,2025-01-28 12:13:00,2026-08-05 02:59:59,BATCH_202501_RAW_GOODS_RECEIPTS
REC-00000016,PO-00000016,SKU-0059,WH-DEL-02,2025-02-02 08:00:00,2025-02-05 09:00:00,378,0,WH-DEL-02#ASL-4#SHF-B#BIN-24,BLUEYONDER_WMS,2025-02-02 10:55:00,2026-08-05 02:59:59,BATCH_202502_RAW_GOODS_RECEIPTS
REC-00000017,PO-00000017,SKU-0066,WH-BLR-04,2025-02-02 10:00:00,2025-02-03 14:00:00,226,0,WH-BLR-04#ASL-5#SHF-A#BIN-24,BLUEYONDER_WMS,2025-02-02 10:18:00,2026-08-05 02:59:59,BATCH_202502_RAW_GOODS_RECEIPTS
REC-00000018,PO-00000019,SKU-0082,WH-MUM-03,2025-02-02 09:00:00,2025-02-05 13:00:00,304,0,WH-MUM-03#ASL-8#SHF-B#BIN-90,BLUEYONDER_WMS,2025-02-04 11:54:00,2026-08-05 02:59:59,BATCH_202502_RAW_GOODS_RECEIPTS
REC-00000019,PO-00000021,SKU-0035,WH-DEL-02,2025-02-03 11:00:00,2025-02-04 13:00:00,239,0,WH-DEL-02#ASL-6#SHF-A#BIN-82,BLUEYONDER_WMS,2025-02-03 12:04:00,2026-08-05 02:59:59,BATCH_202502_RAW_GOODS_RECEIPTS
REC-00000020,PO-00000018,SKU-0086,WH-DEL-02,2025-02-04 10:00:00,2025-02-05 15:00:00,317,0,WH-DEL-02#ASL-9#SHF-A#BIN-46,BLUEYONDER_WMS,2025-02-04 12:13:00,2026-08-05 02:59:59,BATCH_202502_RAW_GOODS_RECEIPTS
