order_id_raw,order_line_raw,event_timestamp_raw,warehouse_id_raw,event_type_raw,qty_raw,source_system,record_updated_at,ingestion_timestamp,batch_id
ORD-00000001,1,2025-01-01 18:30:00,WH-DEL-02,ALLOCATED,9,SHOPIFY_OMS,2025-01-01 21:16:00,2026-08-05 02:59:59,BATCH_202501_RAW_ORDER_FULFILLMENT_EVENTS
ORD-00000001,1,2025-01-01 20:20:00,WH-DEL-02,SHIPPED,9,SHOPIFY_OMS,2025-01-01 21:39:00,2026-08-05 02:59:59,BATCH_202501_RAW_ORDER_FULFILLMENT_EVENTS
ORD-00000002,1,2025-01-01 11:52:00,WH-LKO-01,ALLOCATED,3,SHOPIFY_OMS,2025-01-01 13:35:00,2026-08-05 02:59:59,BATCH_202501_RAW_ORDER_FULFILLMENT_EVENTS
ORD-00000002,1,2025-01-02 13:42:00,WH-LKO-01,SHIPPED,3,SHOPIFY_OMS,2025-01-02 16:07:00,2026-08-05 02:59:59,BATCH_202501_RAW_ORDER_FULFILLMENT_EVENTS
ORD-00000003,1,2025-01-01 19:59:00,WH-DEL-02,ALLOCATED,2,SHOPIFY_OMS,2025-01-01 20:25:00,2026-08-05 02:59:59,BATCH_202501_RAW_ORDER_FULFILLMENT_EVENTS
ORD-00000003,1,2025-01-01 21:49:00,WH-DEL-02,SHIPPED,2,SHOPIFY_OMS,2025-01-01 22:31:00,2026-08-05 02:59:59,BATCH_202501_RAW_ORDER_FULFILLMENT_EVENTS
ORD-00000004,1,2025-01-01 09:28:00,WH-MUM-03,ALLOCATED,5,SHOPIFY_OMS,2025-01-01 09:40:00,2026-08-05 02:59:59,BATCH_202501_RAW_ORDER_FULFILLMENT_EVENTS
ORD-00000004,1,2025-01-01 11:18:00,WH-MUM-03,SHIPPED,5,SHOPIFY_OMS,2025-01-01 13:03:00,2026-08-05 02:59:59,BATCH_202501_RAW_ORDER_FULFILLMENT_EVENTS
ORD-00000005,1,2025-01-01 12:03:00,WH-LKO-01,ALLOCATED,1,SHOPIFY_OMS,2025-01-01 12:54:00,2026-08-05 02:59:59,BATCH_202501_RAW_ORDER_FULFILLMENT_EVENTS
ord-00000005,1,2025-01-01 13:53:00,WH-LKO-01,SHIPPED,1,SHOPIFY_OMS,2025-01-01 14:49:00,2026-08-05 02:59:59,BATCH_202501_RAW_ORDER_FULFILLMENT_EVENTS
ord-00000006,1,2025-01-01 20:06:00,WH-DEL-02,ALLOCATED,6,SHOPIFY_OMS,2025-01-01 22:06:00,2026-08-05 02:59:59,BATCH_202501_RAW_ORDER_FULFILLMENT_EVENTS
