po_id_raw,po_line_raw,po_date_raw,supplier_id_raw,sku_id_raw,warehouse_id_raw,ordered_qty_raw,unit_cost_foreign_raw,currency_code_raw,expected_delivery_date_raw,supplier_promised_ship_date_raw,status_raw,source_system,record_updated_at,ingestion_timestamp,batch_id
PO-00000001,1,2025-01-01 16:00:00,SUP-002,SKU-0019,WH-LKO-01,473,61.01,AED,2025-01-21 16:00:00,2025-01-08T16:00:00+05:30,CLOSED,SAP_ARIBA,2025-01-01 18:11:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
PO-00000002,1,2025-01-01 14:00:00,SUP-005,SKU-0025,WH-MUM-03,423,103.42,EUR,2025-01-12 14:00:00,2025-01-09 14:00:00,CLOSED,SAP_ARIBA,2025-01-01 16:54:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
PO-00000003,1,2025-01-01 16:00:00,SUP-001,SKU-0050,WH-BLR-04,444,50.22,EUR,2025-01-10 16:00:00,2025-01-08 16:00:00,CLOSED,SAP_ARIBA,2025-01-01 17:46:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
PO-00000004,1,2025-01-01 15:00:00,SUP-001,SKU-0058,WH-DEL-02,452,39.35,USD,2025-01-21 15:00:00,2025-01-12 15:00:00,PARTIALLY_RECEIVED,SAP_ARIBA,2025-01-01 17:56:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
PO-00000005,1,2025-01-01 14:00:00,SUP-002,SKU-0059,WH-DEL-02,333,96.54,AED,2025-01-17 14:00:00,12/01/2025,CLOSED,SAP_ARIBA,2025-01-01 16:18:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
PO-00000006,1,2025-01-01 08:00:00,SUP-005,SKU-0086,WH-DEL-02,415,94.85,AED,2025-01-16 08:00:00,2025-01-14 08:00:00,CLOSED,SAP_ARIBA,2025-01-01 10:39:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
PO-00000007,1,2025-01-01 16:00:00,SUP-005,SKU-0115,WH-MUM-03,419,16.50,EUR,2025-01-13 16:00:00,2025-01-11 16:00:00,CLOSED,SAP_ARIBA,2025-01-01 18:27:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
PO-00000008,1,2025-01-01 12:00:00,SUP-001,SKU-0121,WH-MUM-03,480,41.30,SGD,2025-01-13 12:00:00,2025-01-08 12:00:00,CLOSED,SAP_ARIBA,2025-01-01 12:54:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
PO-00000009,1,2025-01-01 08:00:00,SUP-001,SKU-0135,WH-LKO-01,428,59.47,EUR,2025-01-16 08:00:00,2025-01-11 08:00:00,CLOSED,SAP_ARIBA,2025-01-01 10:06:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
PO-00000010,1,2025-01-01 16:00:00,SUP-006,SKU-0148,WH-MUM-03,465,135.46,USD,2025-01-19 16:00:00,2025-01-15 16:00:00,CLOSED,SAP_ARIBA,2025-01-01 17:52:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
PO-00000011,1,2025-01-07 10:00:00,SUP-008,SKU-0057,WH-MUM-03,359,83.89,EUR,2025-01-20 10:00:00,2025-01-17 10:00:00,closed,SAP_ARIBA,2025-01-07 12:20:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
PO-00000012,1,2025-01-11 09:00:00,SUP-005,SKU-0025,WH-MUM-03,318, 103.42 EUR ,EUR,2025-01-22 09:00:00,2025-01-19 09:00:00,PARTIALLY_RECEIVED,SAP_ARIBA,2025-01-11 10:15:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
N/A,1,2025-01-12 08:00:00,SUP-007,SKU-0093,WH-BLR-04,352,74.28,SGD,2025-01-27 08:00:00,2025-01-25 08:00:00,CLOSED,SAP_ARIBA,2025-01-15 08:28:00,2026-08-05 02:59:59,BATCH_202501_RAW_PURCHASE_ORDERS
